model,metric,benchmark,unit,score,base_score,delta_base,relative_base_pct,d2_score,delta_d2,relative_d2_pct
element_protected,sw_ppl,sw_ppl,diagnostic,14.301479432180328,69.5879472795036,-55.286467847323266,-79.44833841018806,13.69571177399636,0.6057676581839679,4.4230461927077025
element_protected,en_nll,en_nll,diagnostic,2.6745632886886597,2.6588595509529114,0.01570373773574829,0.5906193025547513,2.7968185395002365,-0.12225525081157684,-4.371225701093307
element_protected,sw_nll,sw_nll,diagnostic,2.6603629887104034,4.242591381072998,-1.5822283923625946,-37.29391426714377,2.6170827746391296,0.043280214071273804,1.6537579357703613
element_unprotected,belebele_sw,SW Belebele,%,43.333333333333336,37.22222222222222,6.111111111111114,16.417910447761198,44.888888888888886,-1.55555555555555,-3.4653465346534573
element_unprotected,sum_sw,SW XL-Sum,chrF++,30.560465919696245,23.93525353687835,6.625212382817896,27.679725107611965,30.18689316227931,0.37357275741693385,1.2375329763439913
element_unprotected,mt_en2sw,EN→SW,chrF++,35.01702697541655,17.43894564338783,17.57808133202872,100.79784461449735,36.33963633557651,-1.3226093601599587,-3.63957786463901
element_unprotected,mt_sw2en,SW→EN,chrF++,39.2877292075915,21.00647263204572,18.281256575545775,87.02677929686023,39.64459963483287,-0.3568704272413754,-0.9001741234077709
element_unprotected,belebele_en,EN Belebele,%,76.33333333333333,81.77777777777779,-5.444444444444457,-6.6576086956521845,78.33333333333333,-2.0,-2.553191489361706
element_unprotected,sum_en,EN XL-Sum,chrF++,21.931316509194197,21.88807455273231,0.043241956461887554,0.19755943519705887,21.63216210835167,0.2991544008425251,1.3829149363069337
element_unprotected,ifeval_prompt_strict,IFEval prompt strict,%,21.072088724584106,42.883548983364136,-21.81146025878003,-50.86206896551724,20.147874306839185,0.9242144177449205,4.587155963302769
element_unprotected,ifeval_instruction_strict,IFEval instruction strict,%,30.335731414868107,51.798561151079134,-21.462829736211027,-41.435185185185176,29.73621103117506,0.5995203836930472,2.016129032258074
element_unprotected,gsm8k_strict,GSM8K strict 5-shot,%,13.419257012888552,31.311599696739954,-17.892342683851403,-57.14285714285714,13.495072024260804,-0.0758150113722511,-0.561797752808979
element_unprotected,gsm8k_flexible,GSM8K flexible 5-shot,%,30.09855951478393,54.73843821076573,-24.6398786959818,-45.01385041551246,37.14935557240334,-7.050796057619408,-18.979591836734688
element_unprotected,en_ppl,en_ppl,diagnostic,15.413206302058493,14.279994202913413,1.13321209914508,7.935662179147673,16.392411912590518,-0.9792056105320253,-5.973529799967547
element_unprotected,sw_ppl,sw_ppl,diagnostic,14.244516711819971,69.5879472795036,-55.343430567683626,-79.53019557452079,13.69571177399636,0.5488049378236113,4.007129727026015
element_unprotected,en_nll,en_nll,diagnostic,2.7352246940135956,2.6588595509529114,0.0763651430606842,2.8721014253391353,2.7968185395002365,-0.06159384548664093,-2.202282508383513
element_unprotected,sw_nll,sw_nll,diagnostic,2.6563720405101776,4.242591381072998,-1.5862193405628204,-37.38798291155836,2.6170827746391296,0.039289265871047974,1.5012618726385263
edge_projected_rows,belebele_sw,SW Belebele,%,46.666666666666664,37.22222222222222,9.444444444444443,25.373134328358216,44.888888888888886,1.7777777777777786,3.960396039603964
edge_projected_rows,sum_sw,SW XL-Sum,chrF++,30.52485459358192,23.93525353687835,6.589601056703572,27.53094320288112,30.18689316227931,0.3379614313026096,1.1195634790430065
edge_projected_rows,mt_en2sw,EN→SW,chrF++,37.74516876166972,17.43894564338783,20.30622311828189,116.44180521877607,36.33963633557651,1.4055324260932096,3.867766900895475
edge_projected_rows,mt_sw2en,SW→EN,chrF++,42.91153603095648,21.00647263204572,21.905063398910762,104.27768518115803,39.64459963483287,3.2669363961236115,8.240558427163913
edge_projected_rows,belebele_en,EN Belebele,%,81.77777777777779,81.77777777777779,0.0,0.0,78.33333333333333,3.444444444444457,4.397163120567393
edge_projected_rows,sum_en,EN XL-Sum,chrF++,22.37416781291507,21.88807455273231,0.4860932601827592,2.220813251579856,21.63216210835167,0.7420057045633968,3.430104216336871
edge_projected_rows,ifeval_prompt_strict,IFEval prompt strict,%,34.750462107208875,42.883548983364136,-8.13308687615526,-18.965517241379292,20.147874306839185,14.60258780036969,72.47706422018352
edge_projected_rows,ifeval_instruction_strict,IFEval instruction strict,%,44.48441247002398,51.798561151079134,-7.314148681055151,-14.120370370370361,29.73621103117506,14.748201438848923,49.5967741935484
edge_projected_rows,gsm8k_strict,GSM8K strict 5-shot,%,38.210765731614856,31.311599696739954,6.899166034874902,22.033898305084733,13.495072024260804,24.715693707354053,183.14606741573033
edge_projected_rows,gsm8k_flexible,GSM8K flexible 5-shot,%,47.005307050796056,54.73843821076573,-7.733131159969673,-14.127423822714679,37.14935557240334,9.855951478392718,26.530612244897945
edge_projected_rows,en_ppl,en_ppl,diagnostic,13.788101357356446,14.279994202913413,-0.49189284555696666,-3.444629168383073,16.392411912590518,-2.604310555234072,-15.887293273992098
edge_projected_rows,sw_ppl,sw_ppl,diagnostic,15.793956816928926,69.5879472795036,-53.79399046257467,-77.30360294507369,13.69571177399636,2.0982450429325663,15.320452690282526
edge_projected_rows,en_nll,en_nll,diagnostic,2.6238059997558594,2.6588595509529114,-0.035053551197052,-1.3183679139610494,2.7968185395002365,-0.17301253974437714,-6.186048086455143
edge_projected_rows,sw_nll,sw_nll,diagnostic,2.7596273869276047,4.242591381072998,-1.4829639941453934,-34.9542027724182,2.6170827746391296,0.14254461228847504,5.446698655075233
edge_rows_no_projection,belebele_sw,SW Belebele,%,44.22222222222222,37.22222222222222,7.0,18.80597014925374,44.888888888888886,-0.6666666666666643,-1.4851485148514754
edge_rows_no_projection,sum_sw,SW XL-Sum,chrF++,31.30777586996949,23.93525353687835,7.3725223330911405,30.801939581429096,30.18689316227931,1.1208827076901784,3.713143653652984
edge_rows_no_projection,mt_en2sw,EN→SW,chrF++,37.608335113412046,17.43894564338783,20.169389470024218,115.65716117517498,36.33963633557651,1.2686987778355387,3.491225850803259
edge_rows_no_projection,mt_sw2en,SW→EN,chrF++,42.36182726095937,21.00647263204572,21.355354628913652,101.66083093996328,39.64459963483287,2.717227626126501,6.853966621317742
edge_rows_no_projection,belebele_en,EN Belebele,%,78.88888888888889,81.77777777777779,-2.8888888888889,-3.532608695652184,78.33333333333333,0.5555555555555571,0.7092198581560405
edge_rows_no_projection,sum_en,EN XL-Sum,chrF++,21.75280082195568,21.88807455273231,-0.1352737307766283,-0.6180248082156781,21.63216210835167,0.12063871360400924,0.5576821817428579
edge_rows_no_projection,ifeval_prompt_strict,IFEval prompt strict,%,32.71719038817005,42.883548983364136,-10.166358595194083,-23.70689655172413,20.147874306839185,12.569316081330868,62.38532110091744
edge_rows_no_projection,ifeval_instruction_strict,IFEval instruction strict,%,44.12470023980815,51.798561151079134,-7.673860911270985,-14.814814814814813,29.73621103117506,14.38848920863309,48.38709677419353
edge_rows_no_projection,gsm8k_strict,GSM8K strict 5-shot,%,40.10614101592115,31.311599696739954,8.7945413191812,28.087167070217923,13.495072024260804,26.61106899166035,197.19101123595507
edge_rows_no_projection,gsm8k_flexible,GSM8K flexible 5-shot,%,42.75966641394996,54.73843821076573,-11.97877179681577,-21.883656509695292,37.14935557240334,5.610310841546621,15.102040816326511
edge_rows_no_projection,en_ppl,en_ppl,diagnostic,14.690397285719298,14.279994202913413,0.41040308280588533,2.873972334821784,16.392411912590518,-1.70201462687122,-10.38294203407586
edge_rows_no_projection,sw_ppl,sw_ppl,diagnostic,15.778193528467174,69.5879472795036,-53.809753751036425,-77.32625527076802,13.69571177399636,2.0824817544708143,15.205356164290485
edge_rows_no_projection,en_nll,en_nll,diagnostic,2.6871940344572067,2.6588595509529114,0.02833448350429535,1.0656630394087818,2.7968185395002365,-0.10962450504302979,-3.9196145010758743
edge_rows_no_projection,sw_nll,sw_nll,diagnostic,2.7586288303136826,4.242591381072998,-1.4839625507593155,-34.97773925105191,2.6170827746391296,0.14154605567455292,5.408543323360138
